city,neighborhood,rooms,price_mean,sq_m_mean,count,price_per_sq_m
תל אביב יפו,"נווה גולן, יפו ג'",2.0,4116.666666666667,57.5,6,71.59420289855073
תל אביב יפו,"נווה גולן, יפו ג'",3.0,4565.909090909091,72.63636363636364,22,62.85982478097622
תל אביב יפו,"נווה גולן, יפו ג'",3.5,4950.0,74.5,8,66.44295302013423
תל אביב יפו,"נווה גולן, יפו ג'",4.0,3200.0,90.0,1,35.55555555555556
תל אביב יפו,"נווה גולן, יפו ג'",5.0,7500.0,100.0,1,75.0
תל אביב יפו,נווה חן,1.0,3500.0,35.0,1,100.0
תל אביב יפו,נווה חן,2.0,4100.0,60.0,1,68.33333333333333
תל אביב יפו,נווה חן,2.5,4000.0,65.0,1,61.53846153846154
תל אביב יפו,נווה חן,3.0,5081.263157894737,74.84210526315789,19,67.8931082981716
תל אביב יפו,נווה חן,3.5,5514.285714285715,84.71428571428571,7,65.09274873524453
תל אביב יפו,נווה חן,4.0,5914.214285714285,91.28571428571429,14,64.78794992175273
תל אביב יפו,נווה חן,4.5,2500.0,100.0,1,25.0
תל אביב יפו,נווה חן,5.0,8100.0,133.25,4,60.78799249530957
תל אביב יפו,"נווה עופר, תל כביר",2.0,4458.333333333333,49.0,6,90.98639455782312
תל אביב יפו,"נווה עופר, תל כביר",3.0,4934.206896551724,71.20689655172414,29,69.29394673123485
תל אביב יפו,"נווה עופר, תל כביר",3.5,5616.666666666667,75.5,6,74.39293598233996
תל אביב יפו,"נווה עופר, תל כביר",4.0,6337.214285714285,89.84615384615384,14,70.53406311154599
תל אביב יפו,"נווה עופר, תל כביר",4.5,5400.0,77.0,1,70.12987012987013
תל אביב יפו,"נווה עופר, תל כביר",5.0,10000.0,131.0,2,76.33587786259542
תל אביב יפו,"נווה עופר, תל כביר",9.0,25000.0,180.0,1,138.88888888888889
תל אביב יפו,"נווה עופר, תל כביר",10.0,1400.0,100.0,1,14.0
תל אביב יפו,נווה צדק,1.0,4400.0,30.0,2,146.66666666666666
תל אביב יפו,נווה צדק,1.5,7566.666666666667,44.333333333333336,3,170.6766917293233
תל אביב יפו,נווה צדק,2.0,7575.0,53.8,10,140.7992565055762
תל אביב יפו,נווה צדק,2.5,6500.0,140.0,1,46.42857142857143
תל אביב יפו,נווה צדק,3.0,12939.23076923077,90.0,13,143.76923076923077
תל אביב יפו,נווה צדק,3.5,13766.666666666666,108.33333333333333,3,127.07692307692308
תל אביב יפו,נווה צדק,4.0,25142.85714285714,137.28571428571428,7,183.14255983350677
תל אביב יפו,נווה צדק,4.5,18000.0,140.0,1,128.57142857142858
תל אביב יפו,נווה צדק,5.0,29400.0,206.6,5,142.30396902226525
תל אביב יפו,נווה צדק,5.5,17000.0,150.0,1,113.33333333333333
תל אביב יפו,נווה שאנן,1.0,2875.0,24.333333333333332,6,118.15068493150686
תל אביב יפו,נווה שאנן,1.5,3250.0,22.5,2,144.44444444444446
תל אביב יפו,נווה שאנן,2.0,5045.0,52.8,30,95.54924242424244
תל אביב יפו,נווה שאנן,2.5,5121.428571428572,64.85714285714286,7,78.9647577092511
תל אביב יפו,נווה שאנן,3.0,6350.0625,68.6875,32,92.44858962693358
תל אביב יפו,נווה שאנן,3.5,6900.0,70.0,1,98.57142857142857
תל אביב יפו,נווה שאנן,4.0,5825.0,62.5,4,93.2
תל אביב יפו,נווה שרת,1.5,3366.6666666666665,29.0,3,116.0919540229885
תל אביב יפו,נווה שרת,2.0,3735.714285714286,47.5,7,78.64661654135338
תל אביב יפו,נווה שרת,2.5,4500.0,50.0,2,90.0
תל אביב יפו,נווה שרת,3.0,5683.333333333333,62.5,6,90.93333333333332
תל אביב יפו,נווה שרת,3.5,6700.0,90.0,1,74.44444444444444
תל אביב יפו,נווה שרת,4.0,5518.75,96.0,8,57.486979166666664
תל אביב יפו,נווה שרת,4.5,8500.0,120.0,1,70.83333333333333
תל אביב יפו,נווה שרת,5.0,5350.0,105.5,2,50.71090047393365
תל אביב יפו,נחלת יצחק,1.0,3500.0,20.5,2,170.73170731707316
תל אביב יפו,נחלת יצחק,2.5,6800.0,75.0,1,90.66666666666667
תל אביב יפו,נחלת יצחק,3.0,6600.0,78.125,8,84.48
תל אביב יפו,נחלת יצחק,3.5,7800.0,90.0,1,86.66666666666667
תל אביב יפו,נחלת יצחק,4.0,8638.888888888889,107.0,9,80.73727933541018
תל אביב יפו,נחלת יצחק,4.5,10750.0,113.5,2,94.7136563876652
תל אביב יפו,ניר אביב,3.0,5466.666666666667,71.0,9,76.99530516431925
תל אביב יפו,ניר אביב,3.5,5800.0,85.0,1,68.23529411764706
תל אביב יפו,ניר אביב,4.0,5959.0,95.81818181818181,11,62.19070208728653
תל אביב יפו,נמל תל אביב,1.5,4800.0,35.0,1,137.14285714285714
תל אביב יפו,"עג'מי, גבעת העליה",1.0,4900.0,35.0,1,140.0
תל אביב יפו,"עג'מי, גבעת העליה",1.5,4000.0,65.0,1,61.53846153846154
תל אביב יפו,"עג'מי, גבעת העליה",2.0,4750.0,59.5,2,79.83193277310924
תל אביב יפו,"עג'מי, גבעת העליה",2.5,6000.0,98.0,2,61.224489795918366
תל אביב יפו,"עג'מי, גבעת העליה",3.0,7500.0,86.25,8,86.95652173913044
תל אביב יפו,"עג'מי, גבעת העליה",3.5,18550.0,175.0,2,106.0
תל אביב יפו,"עג'מי, גבעת העליה",4.0,13959.0,124.0,10,112.5725806451613
תל אביב יפו,"עג'מי, גבעת העליה",5.0,14833.333333333334,215.0,3,68.9922480620155
תל אביב יפו,"עזרא, הארגזים",1.0,3200.0,35.0,1,91.42857142857143
תל אביב יפו,"עזרא, הארגזים",1.5,3200.0,25.0,1,128.0
תל אביב יפו,"עזרא, הארגזים",2.0,3837.5,43.25,4,88.72832369942196
תל אביב יפו,"עזרא, הארגזים",2.5,4800.0,6.0,1,800.0
תל אביב יפו,"עזרא, הארגזים",3.0,3550.0,72.5,4,48.96551724137931
תל אביב יפו,"עזרא, הארגזים",3.5,5800.0,70.0,1,82.85714285714286
תל אביב יפו,"עזרא, הארגזים",4.0,6887.5,111.25,8,61.91011235955056
תל אביב יפו,"עתידים, אזור התעסוקה רמת החייל",4.0,5500.0,110.0,1,50.0
תל אביב יפו,פארק דרום,2.0,3890.0,90.0,1,43.22222222222222
תל אביב יפו,פארק דרום,3.0,4790.0,110.0,1,43.54545454545455
תל אביב יפו,פלורנטין,1.0,4043.181818181818,31.318181818181817,22,129.100145137881
תל אביב יפו,פלורנטין,1.5,4116.666666666667,36.44444444444444,9,112.95731707317074
תל אביב יפו,פלורנטין,2.0,5793.0,52.327586206896555,58,110.70642504118615
תל אביב יפו,פלורנטין,2.5,5433.333333333333,58.166666666666664,12,93.40974212034384
תל אביב יפו,פלורנטין,3.0,7545.263157894737,73.63157894736842,38,102.47319513938527
תל אביב יפו,פלורנטין,3.5,7500.0,90.0,2,83.33333333333333
תל אביב יפו,פלורנטין,4.0,10178.333333333334,115.5,12,88.12409812409813
תל אביב יפו,פלורנטין,5.0,20000.0,165.0,2,121.21212121212122
תל אביב יפו,פלורנטין,6.0,20000.0,780.0,1,25.641025641025642
תל אביב יפו,"צהלון, שיכוני חסכון",1.0,3325.0,250025.25,4,0.013298656835659598
תל אביב יפו,"צהלון, שיכוני חסכון",2.0,5214.285714285715,61.142857142857146,7,85.2803738317757
תל אביב יפו,"צהלון, שיכוני חסכון",2.5,4750.0,72.5,2,65.51724137931035
תל אביב יפו,"צהלון, שיכוני חסכון",3.0,7765.909090909091,83.04545454545455,22,93.51395730706075
תל אביב יפו,"צהלון, שיכוני חסכון",3.5,5600.0,95.0,2,58.94736842105263
תל אביב יפו,"צהלון, שיכוני חסכון",4.0,5833.333333333333,92.33333333333333,3,63.17689530685921
תל אביב יפו,"צהלון, שיכוני חסכון",5.0,9250.0,132.5,2,69.81132075471699
תל אביב יפו,"צמרות איילון, פארק צמרת",2.0,9900.0,70.0,1,141.42857142857142
תל אביב יפו,"צמרות איילון, פארק צמרת",2.5,8896.153846153846,75.38461538461539,13,118.01020408163265
תל אביב יפו,"צמרות איילון, פארק צמרת",3.0,11521.739130434782,101.30434782608695,23,113.73390557939913
תל אביב יפו,"צמרות איילון, פארק צמרת",3.5,14371.875,129.3125,16,111.1406476558724
תל אביב יפו,"צמרות איילון, פארק צמרת",4.0,18778.125,155.5,16,120.7596463022508
תל אביב יפו,"צמרות איילון, פארק צמרת",4.5,20580.0,172.0,5,119.65116279069767
תל אביב יפו,"צמרות איילון, פארק צמרת",5.0,24666.666666666668,193.33333333333334,3,127.58620689655173
תל אביב יפו,"צמרות איילון, פארק צמרת",6.0,38000.0,281.3333333333333,3,135.07109004739337
תל אביב יפו,"צמרות איילון, פארק צמרת",6.5,40000.0,285.0,1,140.35087719298247
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",1.0,5000.0,42.166666666666664,6,118.57707509881423
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",2.0,6881.666666666667,63.46666666666667,15,108.4296218487395
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",2.5,7210.0,74.1,10,97.30094466936573
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",3.0,8881.578947368422,82.10526315789474,19,108.17307692307693
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",3.5,9137.5,101.75,4,89.8034398034398
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",4.0,10295.1,105.2,10,97.86216730038024
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",5.0,7650.0,170.0,2,45.0
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",6.0,14250.0,225.0,2,63.333333333333336
תל אביב יפו,קרית שלום,1.5,2950.0,30.0,1,98.33333333333333
תל אביב יפו,קרית שלום,2.0,4500.0,46.0,2,97.82608695652173
תל אביב יפו,קרית שלום,2.5,3400.0,52.8,5,64.39393939393939
תל אביב יפו,קרית שלום,3.0,5425.0,75.75,8,71.61716171617162
תל אביב יפו,קרית שלום,3.5,5466.666666666667,91.0,3,60.07326007326008
תל אביב יפו,קרית שלום,4.0,7820.0,100.1,10,78.12187812187813
תל אביב יפו,קרית שלום,6.0,10500.0,125.0,1,84.0
תל אביב יפו,רביבים,4.0,9500.0,136.0,2,69.8529411764706
תל אביב יפו,רביבים,5.0,9650.0,137.5,2,70.18181818181819
תל אביב יפו,רביבים,5.5,9150.0,164.0,2,55.792682926829265
תל אביב יפו,רמת אביב,2.0,5846.666666666667,49.333333333333336,3,118.51351351351352
תל אביב יפו,רמת אביב,2.5,7900.0,60.0,1,131.66666666666666
תל אביב יפו,רמת אביב,3.0,6094.444444444444,71.22222222222223,9,85.56942277691107
תל אביב יפו,רמת אביב,3.5,8500.0,65.0,1,130.76923076923077
תל אביב יפו,רמת אביב,4.0,10683.333333333334,264.25,12,40.42888678650268
תל אביב יפו,רמת אביב,4.5,9500.0,140.0,1,67.85714285714286
תל אביב יפו,רמת אביב,5.0,26000.0,230.0,1,113.04347826086956
תל אביב יפו,רמת אביב ג',2.0,11000.0,146.0,1,75.34246575342466
תל אביב יפו,רמת אביב ג',3.0,8690.454545454546,90.63636363636364,11,95.8826479438315
תל אביב יפו,רמת אביב ג',3.5,7900.0,84.0,1,94.04761904761905
תל אביב יפו,רמת אביב ג',4.0,8870.0,109.1875,32,81.23640526617058
תל אביב יפו,רמת אביב ג',4.5,12237.5,117.75,8,103.92781316348196
תל אביב יפו,רמת אביב ג',5.0,11427.272727272728,126.63636363636364,11,90.23689877961235
תל אביב יפו,רמת אביב ג',5.5,15000.0,140.0,1,107.14285714285714
תל אביב יפו,רמת אביב ג',6.0,12000.0,142.0,1,84.50704225352112
תל אביב יפו,רמת החייל,3.0,9500.0,70.0,1,135.71428571428572
תל אביב יפו,רמת החייל,3.5,7350.0,75.0,2,98.0
תל אביב יפו,רמת הטייסים,2.0,4880.0,45.0,1,108.44444444444444
תל אביב יפו,רמת הטייסים,2.5,5500.0,75.0,1,73.33333333333333
תל אביב יפו,רמת הטייסים,3.0,3721.4285714285716,67.14285714285714,7,55.425531914893625
תל אביב יפו,רמת הטייסים,4.0,6800.0,102.5,2,66.34146341463415
תל אביב יפו,"שיכון דן, נווה דן",2.0,4900.0,100.0,1,49.0
תל אביב יפו,שפירא,1.0,2884.6153846153848,27.0,13,106.83760683760684
